154.589 179.047 166.5 179.127 150.742 169.645 0.05
155 179.762 166.5 179.5 151.103 168.985 0.05
155 180 167 180 150.756 170.158 0.05
156.047 177.411 167.905 177.254 151.701 166.86 0.05
156.446 177.402 168.5 177.127 152.308 167.086 0.05
157 178 169 177.762 153.544 167.566 0.05
573.238 194 585 194 572.425 183.185 0.05
573.446 194.402 584.953 194.411 572.114 182.939 0.05
573.5 195 585.238 195 573.268 183.986 0.05
574 192.5 585.598 192.554 573.111 181.351 0.05
574.446 192.598 585.953 192.589 573.829 181.952 0.05
575 193.5 586.5 193.5 574.839 182.74 0.05
151 198 162.5 198.127 146.878 194.263 0.05
151 198 162.762 198 147.19 194.17 0.05
151 198 162.762 198 147.044 194.186 0.05
150.887 198.113 162.5 198.127 146.779 194.62 0.05
150.887 198.113 162.5 198.127 147.659 194.559 0.05
151 198 162.5 198.127 147.578 193.788 0.05
569.5 208 581 208 568.524 203.773 0.05
569.887 208.113 581.238 208 568.729 203.235 0.05
569.589 208.047 581.238 208 568.877 203.248 0.05
569.446 208.402 580.953 208.411 568.677 203.519 0.05
569.446 208.402 580.953 208.411 569.325 203.944 0.05
569.5 208.127 581 208 569.436 203.858 0.05
169.646 173.668 181 174 172.056 157.208 0.35
169.332 173.646 180.659 173.659 171.821 156.751 0.35
169.07 173.644 180.5 173.5 171.013 156.515 0.35
168.5 173 180 173 170.359 156.02 0.35
168.567 172.784 180 173 170.809 155.202 0.35
168.646 172.668 180 173 171.068 155.981 0.35
588 191 599.411 190.953 592.811 173.175 0.35
587.598 190.554 599.446 190.598 592.551 173.558 0.35
587.5 190.5 599 190.5 592.383 173.278 0.35
587.238 190 598.887 189.887 591.638 172.385 0.35
587.271 189.729 598.887 189.887 592.549 172.764 0.35
587.238 190 599 190 592.653 172.836 0.35
140.028 180.05 151.57 179.57 148.412 162.1 0.65
139.762 180 151.57 179.57 148.334 162.106 0.65
140.028 180.05 152 179.762 149.122 162.106 0.65
140.356 180.07 152.341 179.659 148.581 161.993 0.65
140.57 179.57 152.356 179.07 149.157 161.706 0.65
140.57 179.57 152.589 179.047 149.798 162.072 0.65
564.278 188 576.5 187.5 576.03 169.437 0.65
564.278 188 576.271 187.271 575.925 169.372 0.65
564.278 188 576.5 187.5 575.72 169.186 0.65
564.354 188.1 576.5 187.5 576.2 169.382 0.65
564.57 187.57 577 187.238 576.627 169.187 0.65
565.155 187.653 577 187.238 576.384 168.928 0.65
168.762 182 180 182 171.03 174.699 0.35
168.238 182 179.47 181.662 170.337 174.322 0.35
168.554 181.598 179.953 181.589 169.979 174.299 0.35
168.589 181.047 180 181 170.745 174.187 0.35
168.762 181 180 181 170.721 173.313 0.35
168.113 181.113 179.113 181.113 170.309 173.781 0.35
587.667 200 598.887 200.113 592.097 192.035 0.35
586.887 199.887 598 199.5 592.241 191.248 0.35
587 199.667 598.295 199.906 591.622 191.677 0.35
587.341 199.341 598.887 199.113 592.141 191.74 0.35
587.411 199.047 598.667 199 592.672 190.647 0.35
586.887 199.113 598.113 199.113 592.048 190.655 0.35
166.446 177.402 178 177 168.884 163.899 0.35
166.475 176.679 178 176.762 168.595 163.037 0.35
166.762 177 178.238 177 169.01 163.575 0.35
167.338 177.47 178.644 177.07 169.652 163.228 0.35
167.238 177 178.762 177 169.401 163.534 0.35
167.5 176.5 178.873 176.5 169.302 162.598 0.35
584.5 193.127 596 193 589.622 179.179 0.35
584.589 192.953 596 192.762 589.189 178.131 0.35
585 193.238 596.5 193.127 589.681 179.486 0.35
585.411 193.953 597 194 590.579 179.38 0.35
585.446 193.598 596.953 193.589 590.094 179.182 0.35
585.411 193.047 597 193 591.018 179.338 0.35
166.347 187.845 177.887 187.113 179.977 180.566 0.95
166.356 188.07 178.047 187.589 179.813 181.493 0.95
166.347 187.845 177.887 187.113 179.735 180.472 0.95
166.075 187.414 177.589 187.047 179.494 180.616 0.95
165.845 187.347 177.5 187 178.777 180.203 0.95
165.725 187.397 177.589 187.047 179.96 180.594 0.95
589.873 201.5 601.953 201.411 606.795 194.055 0.95
590 201.762 602 201.5 607.672 194.095 0.95
589.873 201.5 601.887 201.113 606.596 193.908 0.95
589.762 201 601.589 200.953 607.266 192.988 0.95
589.238 201 601.5 201 606.78 193.814 0.95
589.5 201.5 601.5 201 606.783 193.108 0.95
134.5 189.127 145.887 189.113 141.827 181.247 0.65
134.356 189.07 146.113 188.887 142.238 180.928 0.65
134.341 188.659 145.589 188.047 141.947 180.495 0.65
133.5 189 145.113 188.887 141.541 181.476 0.65
133.444 189.444 144.887 189.113 141.329 181.214 0.65
133.5 189.127 145 189 141.335 181.537 0.65
559.5 195.873 571.047 195.589 570.206 187.146 0.65
559.5 195.5 571.047 195.411 570.143 187.433 0.65
559.271 195.271 571 195 569.886 186.858 0.65
558.598 195.446 570.5 195 569.387 186.581 0.65
558.5 195.5 570 195.5 569.649 186.861 0.65
558.5 195.5 570 195 569.046 187.212 0.65
182.845 177.653 194.411 177.047 197.031 163.827 0.95
183.644 178.07 195.047 177.411 198.022 165.031 0.95
184.356 178.07 195.953 177.589 198.41 164.428 0.95
184.5 177.5 196 177 198.603 163.935 0.95
184.762 177 196.411 176.047 198.878 163.797 0.95
184.729 176.729 196.411 176.047 199.186 163.06 0.95
600.805 195.402 613 194 619.047 180.998 0.95
601.43 195.57 613.598 194.554 618.512 181.151 0.95
602.089 195.694 614.411 194.953 619.768 181.943 0.95
602.5 195.5 614.873 194.5 619.994 182.016 0.95
602.5 194.676 614.887 193.887 620.516 180.906 0.95
